customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID0022,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,43.359538352851985,657.9848004866935,No
ID0023,Female,1,No,No,69,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),96.19919403080846,6614.092352402941,No
ID0024,Female,0,No,Yes,72,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),34.81062632405621,2511.840706573798,Yes
ID0025,Female,0,No,Yes,36,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),52.77038149966328,2049.391344504555,No
ID0026,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,26.594356193745377,1187.1032700692224,Yes
ID0027,Female,0,No,No,15,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),47.57745157885127,739.1097215787305,No
ID0028,Female,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,One year,No,Electronic check,49.81549839484943,825.034239228672,No
ID0029,Female,0,No,Yes,18,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,84.86771564658382,1445.260079084672,No
ID0030,Male,0,Yes,No,43,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),89.52550392664203,3907.812988772041,No
ID0031,Male,0,Yes,No,1,Yes,No,No,Yes,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),76.80372463337845,27.51496026564987,Yes
ID0032,Female,0,No,No,57,Yes,No phone service,DSL,No,No,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),95.00824982110811,5278.232234652489,Yes
ID0033,Female,0,Yes,No,9,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),63.15727203056235,469.1858235194303,No
ID0034,Female,0,No,No,45,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,No,Two year,Yes,Electronic check,80.79140083495994,3684.9596374324224,Yes
ID0035,Male,0,Yes,No,18,Yes,No,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,One year,No,Electronic check,53.92584071282408,990.8456522587632,No
ID0036,Female,1,No,Yes,37,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,Yes,Two year,No,Mailed check,70.13278750824682,2443.460097606978,No
ID0037,Male,0,Yes,No,36,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),32.10642141770094,976.6531793715744,Yes
ID0038,Male,1,No,No,44,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No internet service,Two year,No,Bank transfer (automatic),79.09894236049848,3439.980547028732,No
ID0039,Male,0,Yes,Yes,33,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,38.49440606439322,860.2861059951484,Yes
ID0040,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,64.08655655423343,212.89173975078572,Yes
ID0041,Male,0,No,No,43,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),84.54514371013784,3616.599789956532,No
ID0042,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),60.78381666148003,1657.63758237021,No
ID0043,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,Two year,Yes,Mailed check,40.31556235777641,1976.4340011193788,Yes
ID0044,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),84.6195075224988,408.2070537163841,Yes
ID0045,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.25333584443545,2704.0192932606114,No
ID0046,Female,1,Yes,No,70,Yes,No,No,Yes,No internet service,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),68.03995521880069,4778.322502245993,No
ID0047,Male,0,No,Yes,17,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),73.76487049511837,1239.1177676912698,No
ID0048,Female,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,57.086596911350235,1707.1323917992654,No
ID0049,Female,0,Yes,Yes,32,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,76.31971555587764,2518.989285410812,No
ID0050,Male,0,No,No,24,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),67.53048920826913,1561.7681793855438,No
ID0051,Female,0,No,Yes,13,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,92.65775881973966,1115.64035214485,Yes
ID0052,Male,0,No,No,37,Yes,Yes,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),42.0261862493432,1648.4673744140935,No
ID0053,Female,1,Yes,No,37,Yes,No phone service,No,No internet service,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,66.6219591465019,2408.449048289372,Yes
ID0054,Male,0,Yes,No,3,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),49.622796541937106,121.78370602555374,No
ID0055,Female,0,Yes,No,61,Yes,No phone service,DSL,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),27.4423326512584,1717.300207296293,No
ID0056,Female,0,No,Yes,9,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,56.65021456830725,533.0846115795108,Yes
ID0057,Male,0,Yes,No,34,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,113.3160819570559,3717.651888327492,Yes
ID0058,Male,0,Yes,Yes,22,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,64.04886455160417,1261.8407385157323,No
ID0059,Male,0,No,Yes,64,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,Yes,One year,No,Bank transfer (automatic),72.56226492199747,4680.374146480138,No
ID0060,Male,0,Yes,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No,Two year,No,Bank transfer (automatic),92.22373471357288,2226.3248139005004,No
ID0061,Male,0,Yes,No,52,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),116.47975811975363,6036.042382478126,No
ID0062,Male,0,No,Yes,16,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),59.17749836264415,805.94181606706,Yes
ID0063,Male,0,No,Yes,56,No,Yes,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),69.7675439896141,3907.678782426149,No
ID0064,Male,0,No,Yes,19,Yes,No phone service,DSL,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),114.85125068974364,2206.393158454621,No
ID0065,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,60.878389437712706,1182.7318474631754,No
ID0066,Female,0,No,No,41,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),97.03313999014196,3932.9918442992844,No
ID0067,Male,1,No,Yes,44,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,62.38340045336496,2753.230481422408,Yes
ID0068,Female,1,No,Yes,30,Yes,Yes,No,Yes,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Credit card (automatic),40.7640201206074,1231.4086690984923,No
ID0069,Female,0,No,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),111.63289682312893,7337.455195863585,No
ID0070,Female,0,No,No,51,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,89.20540061219738,4648.266221647382,No
ID0071,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),104.35371756672059,2126.5535688546465,Yes
ID0072,Male,0,No,Yes,29,Yes,No,No,No,No,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),29.608645633354286,951.3747517784924,No
ID0073,Female,1,No,Yes,2,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.49044607316718,192.34568433636161,Yes
ID0074,Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,82.04043116705431,5714.766826105657,No
ID0075,Female,1,No,No,42,Yes,No,No,No internet service,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),66.39721861982446,2910.663115056075,Yes
ID0076,Female,1,Yes,Yes,28,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),32.209606336514184,742.4667133626217,No
ID0077,Female,0,Yes,No,2,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),59.47799338305786,310.3762093566977,Yes
ID0078,Male,0,No,No,57,Yes,No phone service,No,No,No internet service,No internet service,No,No internet service,Yes,Two year,No,Electronic check,79.76867645738417,4524.600381927858,No
ID0079,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,One year,Yes,Credit card (automatic),85.74724144834805,2841.3970551511266,Yes
ID0080,Male,1,No,No,44,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),29.69810762005912,1355.5594455277842,Yes
ID0081,Female,0,No,Yes,68,Yes,No phone service,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),62.382499440611326,4282.056847353844,Yes
ID0082,Male,1,Yes,Yes,31,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Credit card (automatic),60.55184848404706,1998.138433140677,No
ID0083,Female,0,Yes,Yes,51,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),96.62444983836822,4946.105600421886,No
ID0084,Male,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),22.120868736318407,1501.256660665554,No
ID0085,Male,1,No,Yes,39,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Two year,No,Mailed check,96.5489409179242,3795.060969613112,Yes
ID0086,Female,0,No,No,12,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,Month-to-month,No,Electronic check,96.35237389091837,1063.301802118636,No
ID0087,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,87.70935113447925,2344.217921680292,Yes
ID0088,Female,0,No,Yes,62,Yes,Yes,No,No internet service,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,107.97535449438423,6742.122021306011,No
ID0089,Female,0,No,No,25,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Two year,No,Credit card (automatic),64.51686986869595,1536.7224232688777,No
ID0090,Female,0,Yes,Yes,58,Yes,Yes,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),27.609043064811686,1654.486526811229,No
ID0091,Female,0,Yes,No,48,Yes,No phone service,No,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),51.150027952151305,2364.1842529940536,No
ID0092,Female,1,Yes,No,52,Yes,Yes,No,No,Yes,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,79.12493783082866,4234.019885593252,Yes
ID0093,Female,1,Yes,Yes,30,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),50.28957233765547,1660.586773044608,No
ID0094,Female,0,Yes,No,11,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),81.29475704696313,962.2911072199745,Yes
ID0095,Female,0,Yes,No,57,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),22.362314533644096,1260.946280725039,Yes
ID0096,Female,0,Yes,No,35,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),25.034202344042495,865.5180791284687,No
ID0097,Female,0,Yes,Yes,9,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,One year,No,Electronic check,19.05159175461602,209.3961908176484,No
ID0098,Female,1,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),115.59588548489374,769.700582909382,Yes
ID0099,Male,0,Yes,No,6,Yes,No,No,Yes,No internet service,No internet service,No internet service,No,No,One year,No,Credit card (automatic),44.164245124863484,290.87403959721024,No
ID0100,Male,0,No,No,30,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),97.55533135055408,3015.9625015251654,Yes
ID0101,Female,0,No,No,71,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,106.68443867789301,7495.770218077598,No
ID0102,Female,0,Yes,No,2,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),33.760932068263614,68.03274138688633,Yes
ID0103,Female,0,No,No,46,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),37.91217301221165,1901.182920473776,No
ID0104,Female,0,No,No,0,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,56.23594234232651,181.0904960804474,No
ID0105,Female,0,No,No,44,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Two year,No,Mailed check,68.40633790686036,2901.5035832755802,No
ID0106,Female,0,No,No,53,Yes,No,No,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),71.47422986539962,3789.732664076304,No
ID0107,Female,0,No,Yes,49,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),56.568384972004374,2884.224718492429,Yes
ID0108,Female,0,No,No,6,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),76.62279901029291,581.2336207375317,No
ID0109,Male,0,Yes,No,62,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),91.60850717138548,5663.717844680797,No
ID0110,Female,0,Yes,No,14,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),88.01225639165406,1233.071611919543,No
ID0111,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),21.020802349239293,1334.146417042465,Yes
ID0112,Female,0,No,No,29,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No,Two year,No,Mailed check,77.32964244665797,2092.4233154608173,Yes
ID0113,Female,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,89.2625202480662,5958.757822420157,Yes
ID0114,Male,0,No,Yes,35,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,One year,No,Electronic check,38.067274780209054,1379.708265791838,No
ID0115,Female,1,No,Yes,66,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),78.36197781690794,5021.7305669939515,Yes
ID0116,Male,1,No,Yes,4,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),29.082590104121536,392.69152538336687,Yes
ID0117,Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,84.49488117574035,2028.3888390174366,Yes
ID0118,Female,1,No,No,10,Yes,No phone service,No,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),80.04077789730027,972.9776985061736,No
ID0119,Male,0,Yes,No,71,Yes,Yes,No,Yes,No,No internet service,Yes,No,Yes,One year,No,Bank transfer (automatic),42.09586632251299,3052.3107291565584,Yes
ID0120,Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),105.53260859289837,6985.56823172458,No
ID0121,Male,0,No,Yes,27,Yes,No,DSL,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),98.65810471753475,2547.397907625372,No
ID0122,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,91.90066985181595,5499.558997785914,Yes
ID0123,Male,0,No,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),63.95572012947032,512.823651445477,Yes
ID0124,Male,0,No,No,49,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),40.689228950687244,2003.1736707584828,No
ID0125,Female,0,No,No,38,Yes,No phone service,No,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),96.2179840873815,3724.2026123128885,No
ID0126,Female,0,No,Yes,36,No,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),39.4548866814645,1439.1613725860368,No
ID0127,Male,0,No,No,62,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,No,No,Two year,No,Bank transfer (automatic),66.69354318583649,4096.994145809173,No
ID0128,Female,1,No,Yes,60,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),55.86960085323815,3365.2885728623937,Yes
ID0129,Female,0,No,Yes,37,Yes,No phone service,No,No,No internet service,Yes,Yes,No,No internet service,One year,No,Mailed check,38.19993699296266,1498.3672135871182,Yes
ID0130,Female,0,No,Yes,32,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),79.46324457695755,2522.303806961039,No
ID0131,Male,0,No,Yes,44,Yes,No,No,No internet service,No,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,116.20701423576591,5150.0922928134805,No
ID0132,Male,0,Yes,No,43,Yes,No,No,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,65.62753021528641,2814.369642306133,Yes
ID0133,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,Yes,No internet service,No,Yes,One year,Yes,Mailed check,67.95320510950755,0.0,No
ID0134,Male,0,Yes,Yes,52,Yes,No,No,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,55.27366877105452,3033.028540863381,No
ID0135,Male,0,Yes,Yes,46,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,40.82816911417261,1957.0001837726104,Yes
ID0136,Male,0,No,No,32,Yes,No,No,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,46.257427080423355,1441.1121334177305,Yes
ID0137,Male,0,Yes,No,66,Yes,Yes,No,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),105.58215217370326,6879.3240166150545,No
ID0138,Male,0,No,Yes,14,No,No phone service,DSL,Yes,Yes,No,No internet service,No internet service,No,One year,No,Mailed check,112.81209374207741,1524.8920743059814,No
ID0139,Male,0,No,Yes,13,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Credit card (automatic),100.62341024079166,1364.1757361833002,No
ID0140,Female,0,No,Yes,22,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No,No,Two year,No,Credit card (automatic),20.644564594386235,469.2679641361565,Yes
ID0141,Male,0,No,Yes,53,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,78.7798398106606,4271.037222307164,No
ID0142,Female,0,Yes,Yes,7,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),72.9272454468162,400.7634457527057,No
ID0143,Female,1,Yes,No,53,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,No internet service,One year,No,Electronic check,95.47645066689883,5089.516654493037,Yes
ID0144,Female,1,No,No,35,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,96.05597984405851,3344.553821788356,No
ID0145,Male,1,Yes,Yes,51,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),61.81115066364147,3096.7831037944457,No
ID0146,Male,0,Yes,Yes,5,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),46.753115578245,389.71096611501,Yes
ID0147,Male,0,Yes,Yes,27,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),27.730330167778533,711.8155049860999,No
ID0148,Male,0,No,Yes,49,Yes,No,No,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),79.13221267509641,3875.617098596098,Yes
ID0149,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,45.360732564790965,1494.8272509282197,No
ID0150,Male,0,Yes,No,29,Yes,No phone service,DSL,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),114.4638986859711,3456.601816113267,No
ID0151,Male,0,Yes,Yes,72,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,Two year,No,Credit card (automatic),22.67480537340729,1542.61040719053,Yes
ID0152,Male,1,No,No,53,Yes,Yes,No,Yes,Yes,No internet service,No internet service,No,Yes,Two year,No,Credit card (automatic),114.42902696023353,5907.790893075105,Yes
ID0153,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),67.57507561570164,4820.424058231676,No
ID0154,Male,1,Yes,Yes,45,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),78.65891391110115,3650.030059906544,Yes
ID0155,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Two year,No,Mailed check,76.35355659703117,2128.549963391983,No
ID0156,Male,0,Yes,Yes,16,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,93.27074332958499,1317.0364787288936,No
